n,room,time
87,classroom,57.64
89,classroom,49.44
89,classroom,55.72
89,classroom,57.96
89,classroom,57.4
89,classroom,58.2
89,classroom,58.48
89,classroom,59.24
89,classroom,56.16
91,classroom,58.88
91,classroom,58.2
91,classroom,58.12
91,classroom,58.64
91,classroom,58.44
91,classroom,58.24
91,classroom,58.0
91,classroom,59.4
93,classroom,60.0
93,classroom,60.12
93,classroom,59.48
93,classroom,59.56
93,classroom,60.44
93,classroom,58.64
93,classroom,59.04
95,classroom,61.48
95,classroom,60.52
95,classroom,61.52
95,classroom,59.52
95,classroom,62.12
95,classroom,60.64
97,classroom,60.4
97,classroom,63.48
97,classroom,62.48
97,classroom,61.28
99,classroom,64.0
99,classroom,63.64
99,classroom,63.6
99,classroom,63.16
1,jonesRoom,2.4
1,jonesRoom,2.48
1,jonesRoom,8.16
1,jonesRoom,4.12
1,jonesRoom,5.68
1,jonesRoom,8.92
3,jonesRoom,7.64
3,jonesRoom,8.8
3,jonesRoom,7.16
3,jonesRoom,4.64
3,jonesRoom,9.24
3,jonesRoom,8.24
5,jonesRoom,10.4
5,jonesRoom,8.36
5,jonesRoom,7.6
5,jonesRoom,8.04
5,jonesRoom,7.96
5,jonesRoom,7.0
7,jonesRoom,9.32
7,jonesRoom,8.2
7,jonesRoom,7.56
7,jonesRoom,9.32
7,jonesRoom,9.0
7,jonesRoom,12.24
9,jonesRoom,7.76
9,jonesRoom,7.92
9,jonesRoom,8.72
9,jonesRoom,8.68
9,jonesRoom,9.84
9,jonesRoom,9.16
11,jonesRoom,9.28
11,jonesRoom,9.84
11,jonesRoom,9.64
11,jonesRoom,9.6
11,jonesRoom,11.32
11,jonesRoom,10.16
13,jonesRoom,8.12
13,jonesRoom,11.84
13,jonesRoom,9.68
13,jonesRoom,9.68
13,jonesRoom,13.32
13,jonesRoom,12.64
15,jonesRoom,9.68
15,jonesRoom,10.2
15,jonesRoom,10.0
15,jonesRoom,9.16
15,jonesRoom,12.96
15,jonesRoom,13.12
17,jonesRoom,12.72
17,jonesRoom,10.08
17,jonesRoom,13.2
17,jonesRoom,12.16
19,jonesRoom,13.16
19,jonesRoom,13.68
19,jonesRoom,12.28
19,jonesRoom,13.32
21,jonesRoom,16.12
21,jonesRoom,14.92
21,jonesRoom,13.96
21,jonesRoom,15.36
23,jonesRoom,17.4
23,jonesRoom,15.84
23,jonesRoom,15.28
23,jonesRoom,16.2
25,jonesRoom,16.56
25,jonesRoom,17.4
25,jonesRoom,16.8
25,jonesRoom,17.0
27,jonesRoom,17.56
27,jonesRoom,18.2
29,jonesRoom,20.0
29,jonesRoom,18.96
31,jonesRoom,20.32
31,jonesRoom,20.4
33,jonesRoom,20.8
33,jonesRoom,21.0
35,jonesRoom,22.0
109,jonesRoom,63.28
111,jonesRoom,65.8
111,jonesRoom,66.32
113,jonesRoom,64.92
113,jonesRoom,66.76
115,jonesRoom,66.68
115,jonesRoom,66.32
117,jonesRoom,67.16
117,jonesRoom,68.28
119,jonesRoom,71.44
119,jonesRoom,71.52
121,jonesRoom,71.92
121,jonesRoom,70.96
121,jonesRoom,69.96
123,jonesRoom,71.92
123,jonesRoom,71.28
123,jonesRoom,71.32
123,jonesRoom,71.0
125,jonesRoom,71.68
125,jonesRoom,71.64
125,jonesRoom,72.28
125,jonesRoom,73.52
127,jonesRoom,74.72
127,jonesRoom,76.2
127,jonesRoom,74.44
127,jonesRoom,72.88
129,jonesRoom,75.52
129,jonesRoom,75.44
129,jonesRoom,76.48
129,jonesRoom,74.68
131,jonesRoom,77.04
131,jonesRoom,75.72
131,jonesRoom,74.68
131,jonesRoom,75.76
133,jonesRoom,77.16
133,jonesRoom,77.64
133,jonesRoom,77.56
133,jonesRoom,77.12
135,jonesRoom,78.96
135,jonesRoom,79.6
135,jonesRoom,77.68
135,jonesRoom,74.76
137,jonesRoom,81.0
137,jonesRoom,79.24
137,jonesRoom,77.64
137,jonesRoom,78.36
139,jonesRoom,80.64
139,jonesRoom,78.72
139,jonesRoom,80.48
139,jonesRoom,78.0
141,jonesRoom,81.84
141,jonesRoom,80.2
141,jonesRoom,81.92
141,jonesRoom,82.08
143,jonesRoom,82.16
143,jonesRoom,82.32
143,jonesRoom,69.52
143,jonesRoom,72.36
145,jonesRoom,82.0
145,jonesRoom,83.36
145,jonesRoom,69.8
145,jonesRoom,72.08
147,jonesRoom,85.56
147,jonesRoom,84.8
147,jonesRoom,73.44
147,jonesRoom,73.48
149,jonesRoom,86.72
149,jonesRoom,84.2
149,jonesRoom,74.68
149,jonesRoom,72.92
151,jonesRoom,87.04
151,jonesRoom,87.84
151,jonesRoom,74.4
151,jonesRoom,73.52
153,jonesRoom,76.4
153,jonesRoom,75.52
153,jonesRoom,74.36
153,jonesRoom,76.56
155,jonesRoom,74.76
155,jonesRoom,74.6
155,jonesRoom,77.52
155,jonesRoom,76.72
157,jonesRoom,76.56
157,jonesRoom,76.88
157,jonesRoom,77.68
157,jonesRoom,75.4
159,jonesRoom,77.2
159,jonesRoom,78.16
159,jonesRoom,77.96
159,jonesRoom,78.2
161,jonesRoom,79.4
161,jonesRoom,77.88
161,jonesRoom,78.68
161,jonesRoom,79.4
163,jonesRoom,80.88
163,jonesRoom,78.44
163,jonesRoom,81.76
163,jonesRoom,78.6
165,jonesRoom,81.0
165,jonesRoom,80.44
